Female,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type
0,1,1,0,0,0,0,2,4,8,90000,31.42569663,4.514808655,Working,Secondary / secondary special,Married,House / apartment,Core staff
1,1,0,1,1,0,0,0,2,52,144000,50.48974312,4.216376791,Working,Secondary / secondary special,Married,House / apartment,Drivers
0,1,1,0,0,0,1,0,2,3,180000,57.25784924,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,1,0,1,0,2,19,85500,64.25320164,0,Pensioner,Higher education,Married,House / apartment,Other
1,1,1,0,1,0,0,0,2,39,135000,61.71516184,0.533891866,Working,Academic degree,Married,House / apartment,Other
0,0,1,0,0,0,0,3,4,7,225000,32.49895617,13.88666434,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers
0,1,1,0,1,0,0,0,2,27,450000,62.66795348,0.605077449,State servant,Higher education,Married,House / apartment,Other
0,1,1,0,0,0,0,0,2,17,108000,52.88541175,16.53422042,Working,Secondary / secondary special,Married,Municipal apartment,Core staff
0,0,1,0,0,0,0,0,1,18,112500,36.56201017,13.5964462,State servant,Secondary / secondary special,Separated,House / apartment,High skill tech staff
0,0,1,0,1,0,0,0,1,51,90000,41.32323046,5.045962614,Working,Secondary / secondary special,Separated,House / apartment,Sales staff
0,0,0,0,0,0,0,0,1,39,135000,54.83206363,7.384135198,Working,Secondary / secondary special,Single / not married,With parents,Cleaning staff
0,0,1,0,0,0,0,0,2,54,135000,46.54441912,15.71558622,Working,Secondary / secondary special,Married,House / apartment,Cooking staff
0,0,0,1,0,1,0,1,3,24,135000,35.82277528,2.798140961,Working,Secondary / secondary special,Married,House / apartment,Other
0,1,1,0,1,0,0,1,3,34,180000,27.32431193,0.350452097,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff
0,0,1,0,0,1,0,2,4,15,135000,29.01633846,5.95494774,Working,Incomplete higher,Married,House / apartment,Sales staff
1,1,0,0,0,0,0,1,3,20,229500,59.31675531,11.88799222,State servant,Secondary / secondary special,Married,House / apartment,Managers
0,0,0,1,1,0,0,0,2,59,202500,35.23412527,0.930888382,Working,Secondary / secondary special,Married,With parents,Managers
1,0,1,1,1,0,0,0,2,24,108000,43.79829839,20.09897534,Working,Secondary / secondary special,Married,House / apartment,Laborers
0,1,0,1,0,0,0,0,1,33,126000,32.79465013,14.25354388,State servant,Incomplete higher,Single / not married,House / apartment,Core staff
1,1,1,0,0,0,0,0,2,32,382500,29.44618986,9.177464287,Working,Higher education,Married,House / apartment,Core staff
0,0,1,0,0,0,0,0,2,44,67500,54.25984106,31.20666407,State servant,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,1,0,1,0,2,42,81000,58.54466553,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,1,0,2,39,165150,63.99036257,0,Pensioner,Higher education,Married,House / apartment,Other
0,0,1,0,1,0,1,0,1,28,130500,61.72063766,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other
1,0,1,0,0,0,0,0,1,37,202500,51.43158313,4.375175397,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Other
1,1,1,1,1,0,0,1,3,43,180000,44.93726771,8.813322655,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers
0,0,1,0,0,0,1,0,2,7,99000,58.29004018,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
1,1,0,0,0,0,0,0,1,15,67500,24.76984469,1.960341417,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,Security staff
0,1,1,1,1,0,0,2,4,33,67500,32.3921778,10.34381267,State servant,Higher education,Married,House / apartment,Core staff
0,1,1,0,1,0,1,0,2,51,153000,60.7213016,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
1,0,0,1,0,0,0,0,2,5,180000,59.72196554,12.02214967,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers
0,0,1,0,0,0,1,0,2,49,63000,60.69666044,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,0,2,4,46,157500,31.1436922,10.38488128,Working,Secondary / secondary special,Married,House / apartment,Sales staff
1,0,1,0,0,0,0,1,3,45,225000,28.25793822,7.688042876,Working,Secondary / secondary special,Married,House / apartment,Other
0,1,0,1,1,0,0,0,2,7,135000,34.88093527,4.533974004,Working,Higher education,Married,House / apartment,Other
0,0,0,0,1,0,0,0,2,20,112500,52.02570895,1.927486533,Working,Secondary / secondary special,Married,Office apartment,Other
0,1,1,0,0,0,0,1,2,18,180000,38.94946508,8.375257534,Working,Higher education,Single / not married,House / apartment,Sales staff
0,0,0,0,1,0,1,0,2,44,202500,55.07573735,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
1,1,1,0,0,0,0,0,2,45,135000,27.33526356,7.13498566,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
1,1,1,0,0,0,1,0,2,11,157500,63.85346722,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,1,1,0,1,0,0,1,3,48,270000,37.96108065,4.605159586,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff
0,0,0,0,0,0,0,0,2,0,225000,46.09814028,7.797559156,Working,Higher education,Married,House / apartment,Managers
0,1,1,1,0,0,0,0,2,23,112500,34.74403992,0.632456519,Working,Secondary / secondary special,Married,House / apartment,Sales staff
1,1,1,0,0,0,0,0,1,28,103500,42.13365093,1.661909553,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
1,0,1,0,0,0,0,0,2,42,112500,26.24283866,0.947315824,Working,Secondary / secondary special,Married,With parents,Low-skill Laborers
0,1,1,0,1,1,0,0,1,37,225000,26.52484308,1.623578855,Working,Higher education,Single / not married,House / apartment,Other
1,1,1,0,1,0,1,0,2,11,121500,66.4243619,0,Pensioner,Higher education,Married,House / apartment,Other
0,0,1,0,0,0,0,1,3,40,180000,53.70130804,7.879696366,Commercial associate,Higher education,Married,House / apartment,Managers
0,0,1,1,0,0,0,0,2,12,270000,35.30257295,1.010287686,Working,Higher education,Married,House / apartment,Accountants
1,1,1,0,0,0,1,0,1,35,157500,60.06967973,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other
0,0,1,0,0,0,1,0,1,37,76500,64.1601128,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other
1,1,0,0,1,0,0,0,2,11,315000,29.65427079,2.212228862,Working,Secondary / secondary special,Married,Rented apartment,Drivers
1,0,1,0,0,0,0,0,1,21,315000,26.86434355,0.925412568,Working,Secondary / secondary special,Single / not married,Municipal apartment,Sales staff
0,0,1,1,1,0,0,0,1,37,337500,43.35475746,1.073259547,State servant,Higher education,Single / not married,House / apartment,Managers
0,0,1,0,0,0,0,0,2,37,135000,53.9997399,16.13174809,Working,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,0,0,2,33,157500,50.19404916,19.74852324,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff
1,0,0,0,0,0,0,0,1,7,135000,22.17704676,4.087695161,State servant,Secondary / secondary special,Single / not married,Office apartment,Drivers
0,0,1,0,0,0,0,0,2,16,270000,32.66323059,2.009623743,Working,Incomplete higher,Civil marriage,Rented apartment,Other
1,0,0,0,0,1,0,0,1,51,148500,38.66472275,3.266323059,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers
1,1,1,0,0,0,1,0,2,6,180000,64.52699234,0,Pensioner,Higher education,Married,House / apartment,Other
1,0,0,1,0,0,0,1,3,15,157500,29.63784335,5.678419132,Working,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,0,0,2,2,135000,30.46742917,8.210983114,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff
0,0,0,0,0,0,1,0,1,14,144000,59.34413438,0,Pensioner,Lower secondary,Widow,Municipal apartment,Other
0,0,0,0,0,0,0,0,1,7,74061,24.5398605,0.632456519,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff
0,0,0,1,0,0,0,0,2,24,45000,50.39391637,8.517628699,Working,Higher education,Married,House / apartment,Accountants
0,1,1,0,1,0,0,1,3,24,157500,34.55786224,1.856300951,Working,Secondary / secondary special,Married,House / apartment,Sales staff
0,0,0,1,0,0,0,0,2,34,202500,35.80908574,6.84202961,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers
0,0,0,0,0,0,0,2,4,49,337500,30.08959801,5.952209833,Working,Secondary / secondary special,Married,House / apartment,Core staff
0,0,1,1,1,0,0,0,2,8,81000,52.12974941,2.929560497,Working,Secondary / secondary special,Married,House / apartment,Sales staff
0,1,0,1,1,0,0,0,2,17,202500,27.48858635,2.09449886,State servant,Higher education,Married,House / apartment,Core staff
0,1,1,1,1,1,0,1,3,19,247500,41.54500092,0.19165349,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff
0,0,1,0,0,0,1,0,2,30,135000,58.11481413,0,Pensioner,Higher education,Married,House / apartment,Other
0,0,1,0,0,0,0,0,2,27,247500,50.72794103,11.09947501,Working,Secondary / secondary special,Married,House / apartment,Drivers
1,1,1,0,0,0,0,0,2,55,67500,52.05035011,8.961169634,Working,Secondary / secondary special,Married,House / apartment,Drivers
0,0,1,0,0,0,1,0,1,30,112500,61.90133952,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other
0,1,1,0,0,0,0,1,3,27,90000,39.48061904,9.719569875,Working,Secondary / secondary special,Married,House / apartment,Managers
1,1,1,0,0,0,0,0,2,10,382500,28.6001766,6.625734957,Working,Higher education,Married,House / apartment,Laborers
0,1,1,0,1,1,0,2,3,26,540000,38.76876322,1.155396757,Working,Higher education,Single / not married,House / apartment,Other
1,1,1,0,0,0,1,1,3,25,270000,42.41839326,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
1,1,1,1,1,0,0,1,2,39,360000,40.92897185,20.59453651,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers
0,1,1,0,0,0,0,1,3,23,112500,36.81937343,6.631210771,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
0,0,1,0,0,0,0,0,2,12,193500,50.35284777,6.382061233,Working,Secondary / secondary special,Married,House / apartment,Other
0,1,1,0,0,0,0,1,3,5,135000,38.80435601,0.594125821,Working,Secondary / secondary special,Married,House / apartment,Security staff
0,0,1,0,0,0,0,0,1,22,225000,29.90889614,0.26557698,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff
1,1,1,0,0,0,0,0,1,43,135000,32.07184268,1.839873509,Working,Secondary / secondary special,Single / not married,House / apartment,Other
1,1,1,1,1,0,0,0,2,40,157500,60.27228485,28.02521612,Working,Secondary / secondary special,Married,House / apartment,Core staff
0,0,1,0,1,1,0,0,2,29,126000,27.5844131,1.259437223,Working,Higher education,Married,House / apartment,Core staff
0,0,1,0,0,0,0,0,1,30,157500,50.13929102,13.54168806,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff
0,0,1,0,1,0,1,0,2,10,126000,60.16824439,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,1,0,2,44,49500,61.45506068,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,0,0,0,0,1,0,2,34,112500,64.58175048,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,0,0,0,0,0,0,1,21,225000,39.99534556,2.381979096,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff
0,0,0,0,0,1,0,0,2,27,157500,30.6344415,9.177464287,Working,Higher education,Married,House / apartment,Other
0,0,1,0,0,0,0,0,1,57,90000,58.95261367,12.67650944,Working,Higher education,Single / not married,House / apartment,Laborers
0,0,1,0,0,0,0,0,2,15,90000,32.92606967,13.05981642,Working,Lower secondary,Single / not married,Rented apartment,Cleaning staff
0,0,1,0,0,0,0,0,2,28,90000,47.69434006,0.64067024,State servant,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,0,0,2,57,135000,53.82177594,4.93097052,Working,Secondary / secondary special,Married,House / apartment,Other
0,1,0,0,1,0,0,0,2,50,315000,53.3754971,4.594207958,Commercial associate,Higher education,Married,House / apartment,Accountants
0,0,1,0,1,0,1,0,2,38,112500,58.8047667,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,0,1,1,0,0,0,2,33,135000,26.43996797,4.271134931,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers
1,1,0,1,1,0,0,0,2,28,180000,57.64389413,12.21927897,Working,Lower secondary,Married,House / apartment,Core staff
1,1,0,1,0,0,0,0,2,28,87448.5,32.94797292,0.380569074,Working,Secondary / secondary special,Married,House / apartment,Other
0,1,1,0,0,0,0,2,4,16,103500,32.35110919,4.380651211,Working,Secondary / secondary special,Married,House / apartment,Accountants
0,1,0,1,1,1,0,0,1,18,382500,41.88176349,2.423047701,Commercial associate,Higher education,Single / not married,House / apartment,Managers
1,0,1,0,0,0,0,0,2,50,157500,59.75482043,18.26457764,Working,Secondary / secondary special,Married,House / apartment,Laborers
0,0,0,0,0,0,0,1,2,11,135000,37.56134623,0.046544419,Working,Secondary / secondary special,Widow,House / apartment,Sales staff
0,0,1,0,0,0,0,2,4,39,121500,39.68596207,3.931634462,Working,Secondary / secondary special,Married,House / apartment,Sales staff
0,0,1,1,1,0,0,0,2,36,90000,52.58150407,4.249231675,Working,Secondary / secondary special,Married,House / apartment,Other
0,0,0,0,0,0,1,0,2,20,61875,59.22092856,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,1,0,1,0,1,34,65250,54.47613572,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other
1,1,0,0,0,0,0,0,2,45,360000,31.32165616,6.727037516,Working,Secondary / secondary special,Married,House / apartment,Private service staff
0,0,1,0,0,0,0,0,2,23,112500,43.44237048,5.716749831,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff
0,0,1,0,0,1,0,1,3,15,202500,43.26988234,2.004147929,Working,Secondary / secondary special,Married,House / apartment,Other
0,0,0,0,0,0,0,2,4,18,76500,32.79465013,1.013025593,Commercial associate,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,0,2,4,42,135000,27.88832077,6.338254721,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff
1,1,1,0,0,0,0,0,2,36,202500,40.77564906,7.129509846,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
0,1,1,1,1,0,0,1,3,20,180000,34.44013224,10.17406244,Working,Secondary / secondary special,Married,House / apartment,Other
1,0,0,0,1,1,0,0,1,6,360000,33.88159921,7.59221613,Working,Incomplete higher,Single / not married,Municipal apartment,Laborers
0,0,0,0,1,0,0,0,2,22,171000,52.09689453,8.684641026,Working,Secondary / secondary special,Married,House / apartment,Cooking staff
1,0,1,0,0,0,0,0,2,19,90000,56.21196876,5.875548437,Working,Secondary / secondary special,Married,House / apartment,Security staff
0,1,0,0,0,0,0,0,2,16,225000,33.27925967,1.826183974,Working,Secondary / secondary special,Married,Municipal apartment,Laborers
1,0,1,0,0,0,0,0,2,3,157500,22.72462816,3.113000267,Working,Higher education,Civil marriage,House / apartment,Laborers
1,1,1,0,0,1,0,2,4,28,225000,40.70993929,0.626980705,Commercial associate,Higher education,Married,House / apartment,Other
1,0,0,1,0,0,0,0,2,48,135000,40.66887068,9.631956851,Working,Secondary / secondary special,Married,House / apartment,Drivers
0,0,0,0,1,0,1,0,2,51,81000,55.53296782,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,1,1,1,0,0,1,3,27,135000,28.16758729,7.16236473,Commercial associate,Incomplete higher,Married,House / apartment,Managers
0,0,0,0,0,0,0,0,2,37,189000,50.51986009,0.37509326,Working,Secondary / secondary special,Married,Municipal apartment,Laborers
0,0,1,0,1,0,1,0,1,9,117000,65.77274003,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other
0,0,1,0,0,0,0,0,2,6,112500,50.77448544,1.163610478,Working,Secondary / secondary special,Married,House / apartment,Laborers
0,0,1,0,1,0,0,1,3,12,112500,24.5398605,4.068529812,Working,Higher education,Married,House / apartment,Core staff
0,1,0,0,1,0,0,0,2,43,225000,41.40536767,7.866006831,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff
0,0,1,0,1,0,0,0,2,3,225000,25.78560819,4.366961676,Commercial associate,Higher education,Married,House / apartment,Managers
0,0,1,0,0,0,0,2,4,15,247500,35.64481132,6.316351465,Commercial associate,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,1,0,0,0,1,4,157500,48.01741309,21.01617419,Working,Secondary / secondary special,Single / not married,House / apartment,Private service staff
0,0,0,1,1,0,0,0,1,28,112500,30.2839894,0.4298514,Working,Higher education,Single / not married,With parents,High skill tech staff
1,1,0,0,0,0,0,0,2,34,346500,24.61378399,4.287562373,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers
0,0,0,0,0,0,0,0,2,42,135000,45.17546562,20.5917986,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers
1,1,0,0,1,0,0,0,2,12,382500,41.65725511,4.199949349,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Managers
0,0,0,0,0,0,0,0,2,44,157500,42.31161489,0.96921908,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers
0,1,1,0,1,0,1,0,2,37,175500,60.44477299,0,Pensioner,Higher education,Married,House / apartment,Other
0,0,0,0,0,0,0,0,2,24,247500,32.02256035,7.953619855,State servant,Higher education,Married,House / apartment,Core staff
0,0,1,0,0,0,1,0,2,42,126000,65.47430817,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,1,1,0,0,0,0,1,3,29,135000,35.88848505,3.556541202,Working,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,0,0,0,0,2,5,67500,48.15157053,9.339000801,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff
0,0,1,1,1,0,0,0,2,10,216000,54.61850688,12.71484014,State servant,Higher education,Married,House / apartment,Core staff
0,0,1,0,0,1,0,0,2,39,58500,40.33210812,13.50061945,Working,Secondary / secondary special,Married,House / apartment,Laborers
0,0,0,1,0,0,0,0,2,27,112500,33.92540572,9.845513597,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,Medicine staff
0,0,0,1,1,0,0,0,1,43,108000,55.66164945,23.54873817,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
0,0,1,0,0,0,0,0,1,6,225000,47.13580703,3.115738174,Working,Secondary / secondary special,Separated,House / apartment,Laborers
1,1,1,0,0,0,0,1,2,43,225000,41.61892441,9.703142433,Working,Secondary / secondary special,Separated,House / apartment,Laborers
1,1,0,1,0,1,0,0,2,25,162000,52.95112152,11.19530175,Working,Secondary / secondary special,Married,House / apartment,Security staff
1,1,1,0,0,0,0,0,2,7,162000,36.18965482,0.213556747,Working,Secondary / secondary special,Married,House / apartment,Laborers
0,0,0,0,0,0,0,0,2,60,72000,26.46734704,3.663319575,Working,Higher education,Married,House / apartment,Core staff
0,1,0,1,1,0,0,0,2,49,270000,52.95385942,20.02505185,Commercial associate,Higher education,Married,House / apartment,Managers
0,0,1,0,0,0,1,0,1,6,135000,55.82044806,0,Pensioner,Incomplete higher,Separated,House / apartment,Other
1,1,1,0,0,0,0,1,3,2,315000,40.20068858,2.343648398,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers
1,1,1,0,0,0,0,0,2,23,180000,35.73516226,2.76254817,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff
0,0,1,0,0,0,0,0,2,11,135000,50.65401754,5.108934475,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff
0,1,1,0,0,0,0,0,2,12,157500,35.4394683,11.1761364,State servant,Higher education,Married,House / apartment,Other
1,0,1,0,0,1,0,1,3,44,315000,32.37575036,2.768023984,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff
1,1,1,0,0,1,0,0,1,15,180000,22.42345839,2.425785608,State servant,Higher education,Single / not married,House / apartment,Other
1,1,1,0,0,0,0,0,2,35,472500,52.29128593,9.344476615,Working,Secondary / secondary special,Married,House / apartment,Managers
1,1,1,0,1,0,0,0,2,44,292500,32.07184268,2.09449886,Commercial associate,Higher education,Married,House / apartment,High skill tech staff
0,0,1,0,0,0,0,0,2,8,157500,47.48352122,2.568156773,Working,Secondary / secondary special,Married,House / apartment,Sales staff
